Current SOC,Current Title,Match SOC,,Match Title,Index,Base Employment,Numeric Change,% Change,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training,
47-5071.00,"Roustabouts, Oil and Gas",47-5061.00,47-5061,"Roof Bolters, Mining",9,580,30,0.1,820,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
47-5071.00,"Roustabouts, Oil and Gas",47-5011.00,47-5011,"Derrick Operators, Oil and Gas",2,330,30,0.1,460,22.98,47791,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
47-5071.00,"Roustabouts, Oil and Gas",49-9045.00,49-9045,"Refractory Materials Repairers, Except Brickmasons",10,760,40,0.1,710,30.37,63185,High school diploma or equivalent,None,Apprenticeship,Los Angeles
47-5081.00,Helpers--Extraction Workers,53-7121.00,53-7121,"Tank Car, Truck, and Ship Loaders",9,3810,500,0.1,6090,29.43,61211,No formal educational credential,None,Short-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,53-7041.00,53-7041,Hoist and Winch Operators,3,30,0,-0.1,30,0,0,No formal educational credential,None,Short-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,51-9121.00,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",7,1940,-120,-0.1,1930,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,1,1030,10,0,1160,25.6,53247,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,47-5042.00,47-5042,Mine Cutting and Channeling Machine Operators,2,580,30,0.1,820,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,10,360,20,0.1,470,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,47-5012.00,47-5012,"Rotary Drill Operators, Oil and Gas",4,140,-10,-0.1,180,44.06,91638,No formal educational credential,None,Moderate-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,47-5013.00,47-5013,"Service Unit Operators, Oil, Gas, and Mining",5,140,-10,-0.1,180,44.06,91638,No formal educational credential,None,Moderate-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,53-5011.00,53-5011,Sailors and Marine Oilers,6,100,40,0.4,160,20.04,41691,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
47-5081.00,Helpers--Extraction Workers,49-3043.00,49-3043,Rail Car Repairers,8,2820,120,0,2980,34.89,72570,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",17-3025.00,17-3025,Environmental Engineering Technicians,9,900,230,0.3,1220,29.8,61990,Associate's degree,None,None,Los Angeles
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",53-1031.00,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,4,590,0,0,640,0,0,High school diploma or equivalent,Less than 5 years,None,Los Angeles
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",45-1011.08,45-1011,First-Line Supervisors of Animal Husbandry and Animal Care Workers,6,270,-20,-0.1,370,27.87,57957,High school diploma or equivalent,Less than 5 years,None,Los Angeles
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",33-1021.01,33-1021,Municipal Fire Fighting and Prevention Supervisors,3,430,30,0.1,310,94.37,196291,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training,Los Angeles
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",33-1021.02,33-1021,Forest Fire Fighting and Prevention Supervisors,7,430,30,0.1,310,94.37,196291,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training,Los Angeles
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",53-5021.01,53-5021,Ship and Boat Captains,5,100,40,0.4,160,20.04,41691,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,53-6051.07,53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,1220,70,0.1,1330,42.9,89240,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-9012.00,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",3,630,-10,0,520,38.13,79325,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3092.00,49-3092,Recreational Vehicle Service Technicians,10,440,-30,-0.1,450,15.94,33151,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3041.00,49-3041,Farm Equipment Mechanics and Service Technicians,5,4740,310,0.1,4830,30.63,63717,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3042.00,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",4,2820,120,0,2980,34.89,72570,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-9097.00,49-9097,Signal and Track Switch Repairers,7,790,-40,0,790,18.35,38169,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,1,560,50,0.1,630,25.84,53741,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,9,560,40,0.1,650,37.19,77362,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-2098.00,49-2098,Security and Fire Alarm Systems Installers,6,1790,290,0.2,2610,27.39,56964,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",53-6051.07,53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",1,1220,70,0.1,1330,42.9,89240,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-3031.00,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,2,4740,310,0.1,4830,30.63,63717,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9097.00,49-9097,Signal and Track Switch Repairers,9,790,-40,0,790,18.35,38169,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,3,560,50,0.1,630,25.84,53741,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",51-8021.00,51-8021,Stationary Engineers and Boiler Operators,4,560,40,0.1,650,37.19,77362,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",51-8092.00,51-8092,Gas Plant Operators,7,190,10,0,230,48.24,100338,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9041.00,Industrial Machinery Mechanics,17-3029.09,17-3029,Manufacturing Production Technicians,10,2120,150,0.1,2280,0,0,Associate's degree,None,None,Los Angeles
49-9041.00,Industrial Machinery Mechanics,49-2092.00,49-2092,"Electric Motor, Power Tool, and Related Repairers",1,610,0,0,440,35.13,73064,Associate's degree,None,None,Los Angeles
49-9041.00,Industrial Machinery Mechanics,49-3042.00,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",3,2820,120,0,2980,34.89,72570,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9041.00,Industrial Machinery Mechanics,49-9043.00,49-9043,"Maintenance Workers, Machinery",4,1350,80,0.1,1340,29.4,61148,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9041.00,Industrial Machinery Mechanics,49-2094.00,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",6,1080,-30,0,900,35.57,73976,Postsecondary non-degree award,None,Long-term on-the-job training,Los Angeles
49-9041.00,Industrial Machinery Mechanics,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,8,560,40,0.1,650,37.19,77362,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9041.00,Industrial Machinery Mechanics,49-9044.00,49-9044,Millwrights,9,760,40,0.1,710,30.37,63185,High school diploma or equivalent,None,Apprenticeship,Los Angeles
49-9071.00,"Maintenance and Repair Workers, General",49-3052.00,49-3052,Motorcycle Mechanics,8,230,20,0.1,260,15.5,32245,Postsecondary non-degree award,None,Short-term on-the-job training,Los Angeles
49-9071.00,"Maintenance and Repair Workers, General",49-2092.00,49-2092,"Electric Motor, Power Tool, and Related Repairers",6,610,0,0,440,35.13,73064,Associate's degree,None,None,Los Angeles
49-9071.00,"Maintenance and Repair Workers, General",49-9012.00,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",7,630,-10,0,520,38.13,79325,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
49-9071.00,"Maintenance and Repair Workers, General",49-9097.00,49-9097,Signal and Track Switch Repairers,10,790,-40,0,790,18.35,38169,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9071.00,"Maintenance and Repair Workers, General",49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,2,560,50,0.1,630,25.84,53741,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9071.00,"Maintenance and Repair Workers, General",51-8021.00,51-8021,Stationary Engineers and Boiler Operators,3,560,40,0.1,650,37.19,77362,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
49-9071.00,"Maintenance and Repair Workers, General",49-9044.00,49-9044,Millwrights,9,760,40,0.1,710,30.37,63185,High school diploma or equivalent,None,Apprenticeship,Los Angeles
51-1011.00,First-Line Supervisors of Production and Operating Workers,17-3029.01,17-3029,Non-Destructive Testing Specialists,4,2120,150,0.1,2280,0,0,Associate's degree,None,None,Los Angeles
51-1011.00,First-Line Supervisors of Production and Operating Workers,53-1011.00,53-1011,Aircraft Cargo Handling Supervisors,2,590,0,0,640,0,0,High school diploma or equivalent,Less than 5 years,None,Los Angeles
51-1011.00,First-Line Supervisors of Production and Operating Workers,53-1021.00,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",7,590,0,0,640,0,0,High school diploma or equivalent,Less than 5 years,None,Los Angeles
51-1011.00,First-Line Supervisors of Production and Operating Workers,53-1031.00,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,10,590,0,0,640,0,0,High school diploma or equivalent,Less than 5 years,None,Los Angeles
51-1011.00,First-Line Supervisors of Production and Operating Workers,45-1011.07,45-1011,First-Line Supervisors of Agricultural Crop and Horticultural Workers,3,270,-20,-0.1,370,27.87,57957,High school diploma or equivalent,Less than 5 years,None,Los Angeles
51-1011.00,First-Line Supervisors of Production and Operating Workers,45-1011.05,45-1011,First-Line Supervisors of Logging Workers,5,270,-20,-0.1,370,27.87,57957,High school diploma or equivalent,Less than 5 years,None,Los Angeles
51-1011.00,First-Line Supervisors of Production and Operating Workers,51-9021.00,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",8,860,-90,-0.1,860,16.39,34095,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4011.00,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",5,3440,-370,-0.1,2980,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4033.00,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",10,2670,-320,-0.1,2540,17.84,37107,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-7011.00,51-7011,Cabinetmakers and Bench Carpenters,7,2560,-280,-0.1,2220,18.73,38942,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4032.00,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6,640,-150,-0.2,440,19.29,40118,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4035.00,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,590,-120,-0.2,430,19.02,39579,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4012.00,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",9,590,100,0.2,750,0,0,Postsecondary non-degree award,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4062.00,51-4062,"Patternmakers, Metal and Plastic",1,130,0,0,140,21.24,44182,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4061.00,51-4061,"Model Makers, Metal and Plastic",3,130,0,0,140,21.24,44182,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-9195.04,51-9195,"Glass Blowers, Molders, Benders, and Finishers",8,1510,-20,0,1640,17.26,35884,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-4041.00,Machinists,51-4111.00,51-4111,Tool and Die Makers,4,760,-90,-0.1,620,30.87,64191,Postsecondary non-degree award,None,Long-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4031.00,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",3,4180,-530,-0.1,3850,17.52,36455,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4072.00,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",5,1700,-320,-0.2,1360,17.66,36722,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4193.00,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",10,1670,-260,-0.2,1380,17.03,35426,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4122.00,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,1340,-100,-0.1,1310,19.83,41247,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4034.00,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4,1270,-190,-0.1,1130,23.54,48977,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-7042.00,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",9,1050,-110,-0.1,1270,17.5,36406,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-2031.00,51-2031,Engine and Other Machine Assemblers,7,780,-190,-0.2,620,16.38,34075,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4022.00,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",6,740,-200,-0.3,420,20.21,42047,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",1,440,0,0,510,16.39,34099,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.06,"Welders, Cutters, and Welder Fitters",51-9195.07,51-9195,Molding and Casting Workers,8,1510,-20,0,1640,17.26,35884,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-9121.00,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",4,1940,-120,-0.1,1930,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-9032.00,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",7,1420,-40,0,1680,18.85,39204,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-9041.00,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",8,1310,-120,-0.1,1240,16.92,35196,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-2023.00,51-2023,Electromechanical Equipment Assemblers,9,1050,-200,-0.2,630,20.3,42215,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-5113.00,51-5113,Print Binding and Finishing Workers,2,1040,-290,-0.3,950,19.05,39636,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-2031.00,51-2031,Engine and Other Machine Assemblers,10,780,-190,-0.2,620,16.38,34075,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",3,440,0,0,510,16.39,34099,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-9141.00,51-9141,Semiconductor Processors,6,240,-10,0,260,16.8,34944,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-4121.07,Solderers and Brazers,51-9195.07,51-9195,Molding and Casting Workers,5,1510,-20,0,1640,17.26,35884,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8013.00,Power Plant Operators,17-3029.09,17-3029,Manufacturing Production Technicians,9,2120,150,0.1,2280,0,0,Associate's degree,None,None,Los Angeles
51-8013.00,Power Plant Operators,19-4051.01,19-4051,Nuclear Equipment Operation Technicians,3,1510,90,0.1,1640,22.82,47466,Associate's degree,None,Moderate-term on-the-job training,Los Angeles
51-8013.00,Power Plant Operators,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",8,1240,-140,-0.1,1150,45.76,95190,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8013.00,Power Plant Operators,49-9012.00,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",7,630,-10,0,520,38.13,79325,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8013.00,Power Plant Operators,49-2094.00,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",5,1080,-30,0,900,35.57,73976,Postsecondary non-degree award,None,Long-term on-the-job training,Los Angeles
51-8013.00,Power Plant Operators,49-9097.00,49-9097,Signal and Track Switch Repairers,6,790,-40,0,790,18.35,38169,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8013.00,Power Plant Operators,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,2,560,40,0.1,650,37.19,77362,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8013.00,Power Plant Operators,51-8092.00,51-8092,Gas Plant Operators,1,190,10,0,230,48.24,100338,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8091.00,Chemical Plant and System Operators,17-3029.01,17-3029,Non-Destructive Testing Specialists,10,2120,150,0.1,2280,0,0,Associate's degree,None,None,Los Angeles
51-8091.00,Chemical Plant and System Operators,51-9023.00,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",7,3540,-20,0,4080,18.75,38983,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8091.00,Chemical Plant and System Operators,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",3,1240,-140,-0.1,1150,45.76,95190,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8091.00,Chemical Plant and System Operators,51-9021.00,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",6,860,-90,-0.1,860,16.39,34095,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8091.00,Chemical Plant and System Operators,51-9012.00,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,850,10,0,980,19.39,40338,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8091.00,Chemical Plant and System Operators,51-9011.00,51-9011,Chemical Equipment Operators and Tenders,4,700,-10,0,780,27.54,57269,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8091.00,Chemical Plant and System Operators,51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,8,500,-20,0,740,17.04,35439,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8091.00,Chemical Plant and System Operators,51-8092.00,51-8092,Gas Plant Operators,9,190,10,0,230,48.24,100338,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8092.00,Gas Plant Operators,17-3029.09,17-3029,Manufacturing Production Technicians,5,2120,150,0.1,2280,0,0,Associate's degree,None,None,Los Angeles
51-8092.00,Gas Plant Operators,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",9,1240,-140,-0.1,1150,45.76,95190,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8092.00,Gas Plant Operators,53-6051.07,53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",8,1220,70,0.1,1330,42.9,89240,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8092.00,Gas Plant Operators,49-9012.00,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",4,630,-10,0,520,38.13,79325,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8092.00,Gas Plant Operators,49-2094.00,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7,1080,-30,0,900,35.57,73976,Postsecondary non-degree award,None,Long-term on-the-job training,Los Angeles
51-8092.00,Gas Plant Operators,49-9097.00,49-9097,Signal and Track Switch Repairers,10,790,-40,0,790,18.35,38169,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8092.00,Gas Plant Operators,51-8013.00,51-8013,Power Plant Operators,3,700,-30,0,620,47.02,97810,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8092.00,Gas Plant Operators,51-8021.00,51-8021,Stationary Engineers and Boiler Operators,1,560,40,0.1,650,37.19,77362,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",53-7121.00,53-7121,"Tank Car, Truck, and Ship Loaders",9,3810,500,0.1,6090,29.43,61211,No formal educational credential,None,Short-term on-the-job training,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",17-3029.01,17-3029,Non-Destructive Testing Specialists,6,2120,150,0.1,2280,0,0,Associate's degree,None,None,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-9012.00,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,850,10,0,980,19.39,40338,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-9011.00,51-9011,Chemical Equipment Operators and Tenders,1,700,-10,0,780,27.54,57269,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,8,500,-20,0,740,17.04,35439,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8091.00,51-8091,Chemical Plant and System Operators,3,2000,-80,0,1690,40.91,85088,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8013.00,51-8013,Power Plant Operators,10,700,-30,0,620,47.02,97810,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8092.00,51-8092,Gas Plant Operators,7,190,10,0,230,48.24,100338,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,17-3029.01,17-3029,Non-Destructive Testing Specialists,10,2120,150,0.1,2280,0,0,Associate's degree,None,None,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,51-9023.00,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",7,3540,-20,0,4080,18.75,38983,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,51-9032.00,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",8,1420,-40,0,1680,18.85,39204,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,47-4041.00,47-4041,Hazardous Materials Removal Workers,9,1420,280,0.2,2240,22.59,46992,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,51-8093.00,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,1240,-140,-0.1,1150,45.76,95190,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,51-9012.00,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1,850,10,0,980,19.39,40338,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,51-4023.00,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",5,510,-70,-0.1,380,19.14,39794,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9011.00,Chemical Equipment Operators and Tenders,51-8091.00,51-8091,Chemical Plant and System Operators,3,2000,-80,0,1690,40.91,85088,High school diploma or equivalent,None,Long-term on-the-job training,Los Angeles
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-6061.00,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,8,1410,-400,-0.3,1240,15.24,31699,High school diploma or equivalent,None,Short-term on-the-job training,Los Angeles
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-3092.00,51-3092,Food Batchmakers,7,4290,80,0,6510,15.47,32177,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9121.00,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",4,1940,-120,-0.1,1930,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9021.00,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",3,860,-90,-0.1,860,16.39,34095,High school diploma or equivalent,None,Moderate-term on-the-job training,Los Angeles
